,user_id,followers_count,friends_count,hashtags,grpPolitique
0,95487821,259,533,#jevote;#radiolondres,UNK
1,95491989,3527,2970,#alcatel;#alstomenergie;#macron;#nokia,UNK
2,95498383,0,6,#fillon2017;#fillonpresident,UNK
3,95500356,422,1729,#lepen,FN
4,95502233,276,250,#champse,UNK
5,95502601,200,506,empty,empty
6,95507307,1279,829,empty,empty
7,95517379,2189,3036,#arnys;#brel;#costumegate;#fillon;#macron;#meeting;#nice,UNK
8,95523661,7,41,empty,empty
9,95526245,93,343,empty,empty
10,95533081,24630,1384,#macron,UNK
11,95541119,218,659,empty,empty
12,95542027,185,166,empty,empty
13,95595231,11,52,empty,empty
14,95599164,6396,549,#karimcheurfi;#marine2017;#marineaparis;#marineàparis;#paris;#perpignan;#ue,UNK
15,95601558,500,731,empty,empty
16,95602391,12,61,empty,empty
17,95603773,468,1045,#rendslargent;#rendslimmunite,UNK
18,95604936,6,9,#enmarche;#jevotemacron;#pessac,LREM
19,95606530,5863,1107,#afp;#equateur,UNK
20,95608699,35,58,#artaud;#bfmtv;#hamon;#melenchon;#mlp;#poutou,UNK
21,95610405,832,1736,#bayrou;#fillon;#lepen;#macron;#macronbercy;#melenchon;#mohamedsaou;#poleemploi;#presidentielle2017;#sfr,UNK
22,95617150,3017,937,#fillon;#genealogie;#melenchon,LR
23,95621898,588,2725,empty,empty
24,95621983,3859,3641,#alqaida;#colonisation;#fillon;#fn;#frexit;#gb;#hollande;#jevote;#macron;#mohamedsaou,UNK
25,95623226,122,814,#fillon;#hollande;#lepen;#melenchon,UNK
26,95626053,190,486,#elections;#fillon;#homophobes;#rtlmatin;#vousnavezpashonte,UNK
27,95626903,74,120,empty,empty
28,95640170,56,320,#15minutespourconvaincre,UNK
29,95642916,179,64,empty,empty
